player,role,form_score_100,is_captain,is_vice_captain,selection_order,match_id,team,opponent,venue,date,rationale
Ahmed Raza,BOWL,47.4,False,False,8,997993,Scotland,Scotland,"Grange Cricket Club Ground, Raeburn Place",2016-08-14,Selected as BOWL with form score 47.4.
JH Davey,BOWL,45.5,False,False,9,997993,Scotland,Scotland,"Grange Cricket Club Ground, Raeburn Place",2016-08-14,Selected as BOWL with form score 45.5.
SM Sharif,BOWL,44.9,False,False,10,997993,Scotland,Scotland,"Grange Cricket Club Ground, Raeburn Place",2016-08-14,Selected as BOWL with form score 44.9.
Shaiman Anwar,BAT,52.2,False,False,11,997993,Scotland,Scotland,"Grange Cricket Club Ground, Raeburn Place",2016-08-14,Selected as BAT with form score 52.2.
PL Mommsen,BAT,58.4,True,False,1,997995,Scotland,United Arab Emirates,"Grange Cricket Club Ground, Raeburn Place",2016-08-16,Selected as BAT with form score 58.4.
Muhammad Usman,BAT,56.1,False,True,2,997995,Scotland,United Arab Emirates,"Grange Cricket Club Ground, Raeburn Place",2016-08-16,Selected as BAT with form score 56.1.
KJ Coetzer,BAT,55.2,False,False,3,997995,Scotland,United Arab Emirates,"Grange Cricket Club Ground, Raeburn Place",2016-08-16,Selected as BAT with form score 55.2.
L Sreekumar,BAT,52.6,False,False,4,997995,Scotland,United Arab Emirates,"Grange Cricket Club Ground, Raeburn Place",2016-08-16,Selected as BAT with form score 52.6.
Mohammad Shahzad,AR,45.6,False,False,5,997995,Scotland,United Arab Emirates,"Grange Cricket Club Ground, Raeburn Place",2016-08-16,Selected as AR with form score 45.6.
Fayyaz Ahmed,AR,44.1,False,False,6,997995,Scotland,United Arab Emirates,"Grange Cricket Club Ground, Raeburn Place",2016-08-16,Selected as AR with form score 44.1.
CD de Lange,BOWL,44.5,False,False,7,997995,Scotland,United Arab Emirates,"Grange Cricket Club Ground, Raeburn Place",2016-08-16,Selected as BOWL with form score 44.5.
Ahmed Raza,BOWL,44.4,False,False,8,997995,Scotland,United Arab Emirates,"Grange Cricket Club Ground, Raeburn Place",2016-08-16,Selected as BOWL with form score 44.4.
Amjad Javed,BOWL,44.0,False,False,9,997995,Scotland,United Arab Emirates,"Grange Cricket Club Ground, Raeburn Place",2016-08-16,Selected as BOWL with form score 44.0.
CB Sole,BOWL,43.8,False,False,10,997995,Scotland,United Arab Emirates,"Grange Cricket Club Ground, Raeburn Place",2016-08-16,Selected as BOWL with form score 43.8.
Shaiman Anwar,BAT,52.4,False,False,11,997995,Scotland,United Arab Emirates,"Grange Cricket Club Ground, Raeburn Place",2016-08-16,Selected as BAT with form score 52.4.
